NÚMERO DE MUNICIPIO,NOMBRE DEL MUNICIPIO,DISTRITO ELECTORAL LOCAL,CABECERA DISTRITO LOCAL,RANGO DE SECCIONES,,SECCIONES POR RANGO,TOTAL DE SECCIONES POR RANGO SEGÚN DISTRITO,TOTAL DE SECCIONES POR MUNICIPIO
1,ACAMBAY DE RUIZ CASTANEDA,14,JILOTEPEC DE ANDRES MOLINA ENRÍQUEZ,1,32,32,32,32
2,ACOLMAN,39,TEPEXPAN,33,57,25,33,33
2,ACOLMAN,39,TEPEXPAN,6538,6545,8,,
3,ACULCO,14,JILOTEPEC DE ANDRES MOLINA ENRÍQUEZ,59,71,13,24,24
3,ACULCO,,,73,81,9,,
3,ACULCO,,,6580,6581,2,,
4,ALMOLOYA DE ALQUISIRAS,9,TEJUPILCO DE HIDALGO,82,93,12,12,12
5,ALMOLOYA DE JUÁREZ,45,BARRIO LA CABECERA 3A SECCION,94,107,14,56,56
5,ALMOLOYA DE JUÁREZ,45,BARRIO LA CABECERA 3A SECCION,109,150,42,,
6,ALMOLOYA DEL RÍO,29,TIANGUISTENCO DE GALEANA,151,155,5,5,5
7,AMANALCO,10,VALLE DE BRAVO,156,165,10,10,10
8,AMATEPEC,9,TEJUPILCO DE HIDALGO,166,192,27,27,27
9,AMECAMECA,28,AMECAMECA DE JUÁREZ,193,218,26,26,26
10,APAXCO,20,ZUMPANGO DE OCAMPO,219,232,14,14,14
11,ATENCO,39,TEPEXPAN,233,246,14,14,14
12,ATIZAPÁN,29,TIANGUISTENCO DE GALEANA,248,249,2,4,4
12,ATIZAPÁN,,,6611,6612,2,,
13,ATIZAPÁN DE ZARAGOZA,16,CIUDAD ADOLFO LÓPEZ MATEOS,250,254,5,126,169
13,ATIZAPÁN DE ZARAGOZA,16,CIUDAD ADOLFO LÓPEZ MATEOS,272,288,17,,
13,ATIZAPÁN DE ZARAGOZA,16,CIUDAD ADOLFO LÓPEZ MATEOS,301,306,6,,
13,ATIZAPÁN DE ZARAGOZA,16,CIUDAD ADOLFO LÓPEZ MATEOS,308,313,6,,
13,ATIZAPÁN DE ZARAGOZA,16,CIUDAD ADOLFO LÓPEZ MATEOS,322,344,23,,
13,ATIZAPÁN DE ZARAGOZA,16,CIUDAD ADOLFO LÓPEZ MATEOS,349,364,16,,
13,ATIZAPÁN DE ZARAGOZA,16,CIUDAD ADOLFO LÓPEZ MATEOS,367,401,35,,
13,ATIZAPÁN DE ZARAGOZA,16,CIUDAD ADOLFO LÓPEZ MATEOS,403,416,14,,
13,ATIZAPÁN DE ZARAGOZA,16,CIUDAD ADOLFO LÓPEZ MATEOS,6607,6608,2,,
13,ATIZAPÁN DE ZARAGOZA,16,CIUDAD ADOLFO LÓPEZ MATEOS,6662,6663,2,,
13,ATIZAPÁN DE ZARAGOZA,26,CUAUTITLÁN IZCALLI,255,271,17,43,
13,ATIZAPÁN DE ZARAGOZA,26,CUAUTITLÁN IZCALLI,289,300,12,,
13,ATIZAPÁN DE ZARAGOZA,26,CUAUTITLÁN IZCALLI,314,321,8,,
13,ATIZAPÁN DE ZARAGOZA,26,CUAUTITLÁN IZCALLI,345,348,4,,
13,ATIZAPÁN DE ZARAGOZA,26,CUAUTITLÁN IZCALLI,365,366,2,,
14,ATLACOMULCO,13,ATLACOMULCO DE FABELA,417,455,39,39,39
15,ATLAUTLA,28,AMECAMECA DE JUÁREZ,456,468,13,13,13
16,AXAPUSCO,33,OJO DE AGUA,469,487,19,20,20
16,AXAPUSCO,33,OJO DE AGUA,489,0,1,,
17,AYAPANGO,28,AMECAMECA DE JUÁREZ,490,494,5,5,5
18,CALIMAYA,29,TIANGUISTENCO DE GALEANA,495,510,16,16,16
19,CAPULHUAC,29,TIANGUISTENCO DE GALEANA,511,522,12,12,12
20,COACALCO DE BERRIOZÁBAL,38,COACALCO DE BERRIOZÁBAL,523,628,106,106,106
21,COATEPEC HARINAS,9,TEJUPILCO DE HIDALGO,629,647,19,19,19
22,COCOTITLÁN,28,AMECAMECA DE JUÁREZ,648,653,6,6,6
23,COYOTEPEC,12,TEOLOYUCAN,654,661,8,12,12
23,COYOTEPEC,12,TEOLOYUCAN,663,664,2,,
23,COYOTEPEC,12,TEOLOYUCAN,6621,6622,2,,
24,CUAUTITLÁN,19,SANTA MARÍA TULTEPEC,665,691,27,35,35
24,CUAUTITLÁN,19,SANTA MARÍA TULTEPEC,6531,6537,7,,
24,CUAUTITLÁN,19,SANTA MARÍA TULTEPEC,6652,0,1,,
25,CUAUTITLÁN IZCALLI,26,CUAUTITLÁN IZCALLI,797,798,2,74,259
25,CUAUTITLÁN IZCALLI,,,806,819,14,,
25,CUAUTITLÁN IZCALLI,,,833,844,12,,
25,CUAUTITLÁN IZCALLI,,,848,855,8,,
25,CUAUTITLÁN IZCALLI,,,860,872,13,,
25,CUAUTITLÁN IZCALLI,,,881,905,25,,
25,CUAUTITLÁN IZCALLI,43,CUAUTITLÁN IZCALLI,692,697,6,185,
25,CUAUTITLÁN IZCALLI,43,CUAUTITLÁN IZCALLI,699,796,98,,
25,CUAUTITLÁN IZCALLI,43,CUAUTITLÁN IZCALLI,799,805,7,,
25,CUAUTITLÁN IZCALLI,43,CUAUTITLÁN IZCALLI,820,825,6,,
25,CUAUTITLÁN IZCALLI,43,CUAUTITLÁN IZCALLI,827,832,6,,
25,CUAUTITLÁN IZCALLI,43,CUAUTITLÁN IZCALLI,845,847,3,,
25,CUAUTITLÁN IZCALLI,43,CUAUTITLÁN IZCALLI,856,859,4,,
25,CUAUTITLÁN IZCALLI,43,CUAUTITLÁN IZCALLI,873,880,8,,
25,CUAUTITLÁN IZCALLI,43,CUAUTITLÁN IZCALLI,906,910,5,,
25,CUAUTITLÁN IZCALLI,43,CUAUTITLÁN IZCALLI,6184,6207,24,,
25,CUAUTITLÁN IZCALLI,43,CUAUTITLÁN IZCALLI,6463,6465,3,,
25,CUAUTITLÁN IZCALLI,43,CUAUTITLÁN IZCALLI,6467,6470,4,,
25,CUAUTITLÁN IZCALLI,43,CUAUTITLÁN IZCALLI,6472,6480,9,,
25,CUAUTITLÁN IZCALLI,43,CUAUTITLÁN IZCALLI,6592,6593,2,,
26,CHALCO,1,CHALCO DE DÍAZ COVARRUBIAS,937,938,2,71,71
26,CHALCO,1,CHALCO DE DÍAZ COVARRUBIAS,966,967,2,,
26,CHALCO,1,CHALCO DE DÍAZ COVARRUBIAS,986,996,11,,
26,CHALCO,1,CHALCO DE DÍAZ COVARRUBIAS,1017,1027,11,,
26,CHALCO,1,CHALCO DE DÍAZ COVARRUBIAS,1035,1060,26,,
26,CHALCO,1,CHALCO DE DÍAZ COVARRUBIAS,1062,1080,19,,
27,CHAPA DE MOTA,14,JILOTEPEC DE ANDRES MOLINA ENRÍQUEZ,1081,1094,14,14,14
28,CHAPULTEPEC,35,METEPEC,1095,1096,2,2,2
29,CHIAUTLA,23,TEXCOCO DE MORA,1097,1108,12,12,12
30,CHICOLOAPAN,5,CHIMALHUACÁN,1109,1111,3,70,70
30,CHICOLOAPAN,5,CHIMALHUACÁN,1114,1140,27,,
30,CHICOLOAPAN,5,CHIMALHUACÁN,6352,6391,40,,
31,CHICONCUAC,23,TEXCOCO DE MORA,1142,1144,3,8,8
31,CHICONCUAC,,,1146,1148,3,,
31,CHICONCUAC,,,6626,6627,2,,
32,CHIMALHUACÁN,3,CHIMALHUACÁN,1149,1171,23,98,98
32,CHIMALHUACÁN,3,CHIMALHUACÁN,1173,1191,19,,
32,CHIMALHUACÁN,3,CHIMALHUACÁN,1193,1209,17,,
32,CHIMALHUACÁN,3,CHIMALHUACÁN,1213,1235,23,,
32,CHIMALHUACÁN,3,CHIMALHUACÁN,1239,1240,2,,
32,CHIMALHUACÁN,3,CHIMALHUACÁN,1268,0,1,,
32,CHIMALHUACÁN,3,CHIMALHUACÁN,1271,1276,6,,
32,CHIMALHUACÁN,3,CHIMALHUACÁN,1278,1283,6,,
32,CHIMALHUACÁN,3,CHIMALHUACÁN,6648,0,1,,
32,CHIMALHUACÁN,5,CHIMALHUACÁN,1172,0,1,38,38
32,CHIMALHUACÁN,,,1192,0,1,,
32,CHIMALHUACÁN,,,1210,1212,3,,
32,CHIMALHUACÁN,,,1236,1238,3,,
32,CHIMALHUACÁN,,,5954,0,1,,
32,CHIMALHUACÁN,,,5960,5961,2,,
32,CHIMALHUACÁN,,,5964,5990,27,,
32,CHIMALHUACÁN,31,LOS REYES ACAQUILPAN,1241,1252,12,27,27
32,CHIMALHUACÁN,31,LOS REYES ACAQUILPAN,1255,1257,3,,
32,CHIMALHUACÁN,31,LOS REYES ACAQUILPAN,1266,1267,2,,
32,CHIMALHUACÁN,31,LOS REYES ACAQUILPAN,1270,0,1,,
32,CHIMALHUACÁN,31,LOS REYES ACAQUILPAN,1284,1285,2,,
32,CHIMALHUACÁN,31,LOS REYES ACAQUILPAN,5955,5959,5,,
32,CHIMALHUACÁN,31,LOS REYES ACAQUILPAN,5962,5963,2,,
33,DONATO GUERRA,10,VALLE DE BRAVO,1286,1301,16,16,16
34,ECATEPEC DE MORELOS,6,ECATEPEC DE MORELOS,1735,1780,46,151,745
34,ECATEPEC DE MORELOS,6,ECATEPEC DE MORELOS,1782,1821,40,,
34,ECATEPEC DE MORELOS,6,ECATEPEC DE MORELOS,1823,1835,13,,
34,ECATEPEC DE MORELOS,6,ECATEPEC DE MORELOS,1839,0,1,,
34,ECATEPEC DE MORELOS,6,ECATEPEC DE MORELOS,6012,6018,7,,
34,ECATEPEC DE MORELOS,6,ECATEPEC DE MORELOS,6024,6049,26,,
34,ECATEPEC DE MORELOS,6,ECATEPEC DE MORELOS,6481,6498,18,,
34,ECATEPEC DE MORELOS,8,ECATEPEC DE MORELOS,1394,1395,2,187,
34,ECATEPEC DE MORELOS,8,ECATEPEC DE MORELOS,1398,1401,4,,
34,ECATEPEC DE MORELOS,8,ECATEPEC DE MORELOS,1403,1405,3,,
34,ECATEPEC DE MORELOS,8,ECATEPEC DE MORELOS,1509,1512,4,,
34,ECATEPEC DE MORELOS,8,ECATEPEC DE MORELOS,1516,1521,6,,
34,ECATEPEC DE MORELOS,8,ECATEPEC DE MORELOS,1528,1544,17,,
34,ECATEPEC DE MORELOS,8,ECATEPEC DE MORELOS,1547,1563,17,,
34,ECATEPEC DE MORELOS,8,ECATEPEC DE MORELOS,1569,1580,12,,
34,ECATEPEC DE MORELOS,8,ECATEPEC DE MORELOS,1591,1598,8,,
34,ECATEPEC DE MORELOS,8,ECATEPEC DE MORELOS,1837,1838,2,,
34,ECATEPEC DE MORELOS,8,ECATEPEC DE MORELOS,1840,1951,112,,
34,ECATEPEC DE MORELOS,21,ECATEPEC DE MORELOS,1302,0,1,132,
34,ECATEPEC DE MORELOS,21,ECATEPEC DE MORELOS,1305,1321,17,,
34,ECATEPEC DE MORELOS,21,ECATEPEC DE MORELOS,1323,1366,44,,
34,ECATEPEC DE MORELOS,21,ECATEPEC DE MORELOS,1393,0,1,,
34,ECATEPEC DE MORELOS,21,ECATEPEC DE MORELOS,1501,1508,8,,
34,ECATEPEC DE MORELOS,21,ECATEPEC DE MORELOS,1513,1515,3,,
34,ECATEPEC DE MORELOS,21,ECATEPEC DE MORELOS,1522,1527,6,,
34,ECATEPEC DE MORELOS,21,ECATEPEC DE MORELOS,1836,0,1,,
34,ECATEPEC DE MORELOS,21,ECATEPEC DE MORELOS,5991,6011,21,,
34,ECATEPEC DE MORELOS,21,ECATEPEC DE MORELOS,6019,6023,5,,
